id,1.BT,1.PS,10.BT,10.PS,11.BT,11.PS,12.BT,12.PS,13.BT,13.PS,14.BT,14.PS,15.BT,15.PS,2.BT,2.PS,3.BT,3.PS,4.BT,4.PS,5.BT,5.PS,6.BT,6.PS,7.BT,7.PS,8.BT,8.PS,9.BT
LizaZoop_000000001,4642,4049,16,6,1004,908,9,14,377,345,3,3,3,4,23,37,779,800,30,24,129,266,244,304,5,1,80,22,2647
LizaZoop_000000002,5,5,43,57,1946,1117,41,26,335,418,2,9,8,8,1000,1097,2345,3254,54,75,1364,1033,397,386,5,1,17,1,11
LizaZoop_000000004,1,1,16735,12108,2530,1602,14,1,1,1,5,4,14,2,3,1,2355,3424,7,15,3,3,3,8,6,3,4,4,4
LizaZoop_000000005,3,3,2,0,675,511,1,10,1,0,0,1,0,2,0,0,804,330,2,7,0,0,1,2,2,0,1,0,1
LizaZoop_000000006,5,3,679,508,3036,3439,4,20,390,245,17,8,5,3,0,3,1099,380,4,3,2,3,1,3,2,1,2,1,17
LizaZoop_000000009,4,0,2396,3648,1150,1178,1261,1132,1599,1595,3,6,4,2,1,2,2239,1563,488,485,144,111,10,11,7,1,7,0,4
LizaZoop_000000010,17,17,26,23,74,129,204,129,17,10,0,1,2,2,527,549,674,512,138,122,37,28,14,26,2,4,6,2,18
LizaZoop_000000013,1,1,3,0,515,259,1,0,1,0,2,1,1,21,1,1,1122,952,2,18,2,1,3,3,0,1,1,0,3
LizaZoop_000000014,0,0,5,0,741,880,14,2,1,1,0,0,0,0,4,1,339,325,4,1,1,0,2,0,1,1,0,0,21
LizaZoop_000000015,4,1,1821,2313,4210,3668,39,22,477,352,1,8,16,8,794,1409,1424,1641,16,26,236,256,3,9,3,0,6,1,17
LizaZoop_000000021,1,0,658,631,758,884,8,10,86,43,0,0,2,0,73,114,146,68,3,0,10,12,1,1,0,0,1,0,7
LizaZoop_000000027,91,49,12,26,70,33,77,55,16,15,9,17,2,4,270,135,462,232,389,147,294,178,115,94,2,1,346,151,15
LizaZoop_000000028,2,0,622,933,61,65,2,3,778,498,0,0,2,2,165,232,412,204,7,1,29,31,34,38,3,1,2,1,0
LizaZoop_000000032,28,50,0,0,50,14,0,0,0,1,0,2,3,1,7,10,293,171,1,3,0,1,2,1,0,1,1,0,2
LizaZoop_000000037,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,4,0,1,0,0,0,1,0,0,0,0,1
LizaZoop_000000040,384,474,12,10,78,67,76,88,22,3,44,51,2,0,67,50,172,143,26,77,76,32,56,58,137,77,482,303,512
LizaZoop_000000042,18,31,0,1,286,410,7,1,227,86,64,96,1,0,1,0,328,132,1,1,0,2,23,25,1,2,0,1,9
LizaZoop_000000044,1069,1532,6,3,256,123,2,1,18,18,2,5,20,16,3,16,506,1340,2,5,0,1,2,2,2,1,1,3,72
LizaZoop_000000046,8,13,1647,887,4,2,3,4,1,0,4,2,0,0,1059,376,32,15,1,1,1,0,24,27,2,1,1,2,0
LizaZoop_000000047,8882,6412,416,716,5056,2719,5127,6239,5014,4980,2243,2775,2682,2568,12223,9555,10446,11202,15470,13127,16335,13365,2814,2796,9319,5433,10538,10255,5551
LizaZoop_000000060,6,3,33,55,69,64,226,198,169,132,11,10,203,192,255,213,119,40,130,171,28,29,5,8,2,2,30,10,6
LizaZoop_000000063,8,5,8,2,1382,1302,52,135,24,16,0,1,1,0,38,37,183,102,70,77,8,5,0,2,2,5,17,9,5
LizaZoop_000000064,6741,9847,422,453,398,1483,2236,2599,334,53,820,1116,520,415,910,533,209,199,49,33,1004,3161,1735,2338,860,2006,2321,2724,7800
LizaZoop_000000072,30,51,0,1,184,130,0,0,14,21,9,3,0,0,1,2,33,17,0,0,0,1,1,1,2,0,3,10,80
LizaZoop_000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000080,17,17,233,659,150,523,1524,677,1257,876,321,399,1460,1328,66,87,68,63,83,103,90,169,139,186,17,26,48,26,16
LizaZoop_000000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,0,2,0,0,0,0,0,0,1,0,0
LizaZoop_000000105,5,19,555,948,7,14,1176,924,41,64,3286,2514,2,2,1155,1267,27,11,232,191,53,24,901,696,57,36,14,7,42
LizaZoop_000000110,2,3,0,0,152,169,4,0,0,0,26,6,0,0,0,0,43,16,1,0,0,0,1,6,0,1,0,0,5
LizaZoop_000000113,13,19,506,244,685,352,1396,1722,273,311,8,14,5,2,171,180,49,43,755,458,90,87,21,16,139,113,259,846,14
LizaZoop_000000114,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000121,31,26,24,24,146,86,131,139,515,477,285,363,348,316,115,78,400,403,164,161,1044,933,105,111,912,517,1091,1043,79
LizaZoop_000000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,1
LizaZoop_000000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,0,0,1,0,0,1,0,0,0,0,2054
LizaZoop_000000142,1471,2086,63,82,102,488,1429,2100,441,489,1037,725,2499,1425,745,1307,177,141,1567,3119,1535,2372,255,267,2084,1612,562,644,3021
LizaZoop_000000154,1286,726,9,7,99,128,80,228,31,8,1,4,5,6,4,6,115,376,354,643,12,17,4,5,6,2,2,0,202
LizaZoop_000000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0
LizaZoop_000000166,0,0,2,0,92,87,5,0,0,1,0,0,1,0,1,0,25,10,1,0,1,0,1,0,0,0,0,0,1
LizaZoop_000000179,1,0,1,0,361,192,0,1,1,0,2,1,0,0,0,1,54,86,0,1,0,0,0,1,0,0,0,0,0
LizaZoop_000000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,0,0,0,0,0,0,0,0,0,0,1
LizaZoop_000000198,0,1,0,0,252,604,1,2,1,1,3,0,0,6,27,60,32,15,1,2,0,1,0,0,0,0,0,0,0
LizaZoop_000000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,0,0,0,1,0,1,0,0,0,0,0
LizaZoop_000000218,115,150,4,2,18,14,1,0,171,36,0,2,2,0,6,2,21,7,6,3,97,113,8,7,0,2,0,0,402
LizaZoop_000000231,3,3,32,21,2,0,146,138,295,332,2,5,20,14,744,1332,5,9,725,759,1766,2862,921,1518,5,5,5,4,88
LizaZoop_000000239,6,7,5,2,391,313,1,1,0,2,64,46,1,0,304,988,536,357,1,7,0,1,2,2,2,1,0,2,28
LizaZoop_000000252,0,1,2,3,56,26,0,0,67,93,0,0,0,0,17,27,33,13,0,0,7,13,7,2,0,0,3,0,1
LizaZoop_000000257,1,0,3,2,69,100,0,0,9,36,0,0,3,25,14,11,26,5,0,1,56,116,38,57,0,1,1,0,1
LizaZoop_000000297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000321,10,6,12,29,420,1243,26,32,248,173,5,4,0,5,52,77,75,29,4,3,18,33,2,2,1,1,10,14,91
LizaZoop_000000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
