sample_id,type,sample_name,count
sample01,sample,3.BT,205739
sample02,sample,3.BT,116029
sample03,sample,2.BT,245343
sample04,sample,2.BT,197624
sample05,sample,2.BT,217067
sample06,sample,1.BT,169743
sample07,sample,1.BT,298163
sample08,sample,1.BT,276531
sample09,sample,6.BT,161385
sample10,sample,5.BT,166008
sample11,sample,5.BT,126861
sample12,sample,5.BT,101401
sample13,sample,4.BT,164461
sample14,sample,4.BT,208053
sample15,sample,4.BT,160686
sample16,sample,3.BT,138513
sample17,sample,8.BT,82758
sample18,sample,8.BT,80447
sample19,sample,8.BT,26450
sample20,sample,7.BT,158994
sample21,sample,7.BT,142819
sample22,sample,7.BT,109471
sample23,sample,6.BT,97321
sample24,sample,6.BT,172976
sample25,sample,11.BT,165673
sample26,sample,11.BT,202929
sample27,sample,10.BT,66771
sample28,sample,10.BT,115197
sample29,sample,10.BT,61611
sample30,sample,9.BT,43773
sample31,sample,9.BT,68224
sample32,sample,9.BT,61100
sample33,sample,14.BT,117885
sample34,sample,13.BT,43043
sample35,sample,13.BT,74006
sample36,sample,13.BT,50382
sample37,sample,12.BT,37763
sample38,sample,12.BT,74492
sample39,sample,12.BT,56290
sample40,sample,11.BT,164446
sample41,sample,Pcr0.BT,1436
sample42,sample,Pcr0.BT,358
sample43,sample,Ext0.BT,2053
sample44,sample,15.BT,137796
sample45,sample,15.BT,91120
sample46,sample,15.BT,272228
sample47,sample,14.BT,160730
sample48,sample,14.BT,171847
sample49,sample,3.PS,25110
sample50,sample,3.PS,85999
sample51,sample,2.PS,226959
sample52,sample,2.PS,207829
sample53,sample,2.PS,214016
sample54,sample,1.PS,250926
sample55,sample,1.PS,194836
sample56,sample,1.PS,226292
sample57,sample,6.PS,121177
sample58,sample,5.PS,123066
sample59,sample,5.PS,142199
sample60,sample,5.PS,171122
sample61,sample,4.PS,268632
sample62,sample,4.PS,213325
sample63,sample,4.PS,162930
sample64,sample,3.PS,83402
sample65,sample,8.PS,143916
sample66,sample,8.PS,102085
sample67,sample,8.PS,121422
sample68,sample,7.PS,151229
sample69,sample,7.PS,205925
sample70,sample,7.PS,205559
sample71,sample,6.PS,187089
sample72,sample,6.PS,203441
sample73,sample,11.PS,97050
sample74,sample,11.PS,133819
sample75,sample,10.PS,118877
sample76,sample,10.PS,85259
sample77,sample,10.PS,23221
sample78,sample,9.PS,25112
sample79,sample,9.PS,22431
sample80,sample,9.PS,7580
sample81,sample,14.PS,161769
sample82,sample,13.PS,113668
sample83,sample,13.PS,103890
sample84,sample,13.PS,109420
sample85,sample,12.PS,90173
sample86,sample,12.PS,74525
sample87,sample,12.PS,101232
sample88,sample,11.PS,105544
sample89,blank,Pcr0.PS,192
sample90,blank,Pcr0.PS,231
sample91,blank,Ext0.PS,728
sample92,sample,15.PS,95477
sample93,sample,15.PS,52135
sample94,sample,15.PS,32971
sample95,sample,14.PS,108562
sample96,sample,14.PS,217958
