sample_name,Sample_type,Station,Real_station,Preservative,Split,DNA.conc,Experiment
1,Fjord,1138,1138,Dry,0.5,0.5,Exp_2
3,Fjord,1146,1146,Dry,0.5,2.28,Exp_2
5,Fjord,1134,1134,Dry,0.5,45.2,Exp_2
7,Fjord,1115,1115,Dry,0.5,2.58,Exp_2
9,Fjord,1109,1109,Dry,0.5,68,Exp_2
11,Fjord,1072,1072,Dry,0.5,5.88,Exp_2
13,Fjord,1150,1150,Dry,0.5,0,Exp_2
15,Fjord,1101,1101,Dry,0.5,8,Exp_2
17,Fjord,1145,1145,Dry,0.5,10.3,Exp_2
19,Fjord,1116,1116,Dry,0.5,97.2,Exp_2
21,Fjord,1140,1140,Dry,0.5,0.72,Exp_2
23,Fjord,1080,1080,Dry,0.5,9.9,Exp_2
25,Fjord,1106,1106,Dry,0.5,96,Exp_2
27,Fjord,1119,1119,Dry,0.5,0,Exp_2
29,Fjord,1126,1126,Dry,0.5,90,Exp_2
31,Fjord,1083,1083,Dry,0.5,8.8,Exp_2
33,Fjord,1064,1064,Dry,0.5,5.4,Exp_2
2,Fjord,1138,1138,EtOH,0.125,112,Exp_2
4,Fjord,1146,1146,EtOH,0.125,45.6,Exp_2
6,Fjord,1134,1134,EtOH,0.125,37,Exp_2
8,Fjord,1115,1115,EtOH,0.125,69,Exp_2
10,Fjord,1109,1109,EtOH,0.125,78.8,Exp_2
12,Fjord,1072,1072,EtOH,0.0625,90.8,Exp_2
14,Fjord,1150,1150,EtOH,0.125,74.4,Exp_2
16,Fjord,1101,1101,EtOH,0.125,164,Exp_2
18,Fjord,1145,1145,EtOH,0.125,123,Exp_2
20,Fjord,1116,1116,EtOH,0.125,25.8,Exp_2
22,Fjord,1140,1140,EtOH,0.125,47.2,Exp_2
24,Fjord,1080,1080,EtOH,0.125,9.2,Exp_2
26,Fjord,1106,1106,EtOH,0.125,95,Exp_2
28,Fjord,1119,1119,EtOH,0.125,0.75,Exp_2
30,Fjord,1126,1126,EtOH,0.125,105,Exp_2
32,Fjord,1083,1083,EtOH,0.0625,5.6,Exp_2
34,Fjord,1064,1064,EtOH,0.125,81.2,Exp_2
63,Mock,ETOH15,423,EtOH,1,0,Exp_2
65,Mock,ETOH16,434,EtOH,1,12,Exp_2
67,Mock,ETOH17,441,EtOH,1,11.6,Exp_2
57,Mock,ETOH12,404,EtOH,1,27.4,Exp_2
59,Mock,ETOH13,416,EtOH,1,20.6,Exp_2
61,Mock,ETOH14,418,EtOH,1,21.8,Exp_2
53,Mock,ETOH10,400,EtOH,1,7.4,Exp_2
55,Mock,ETOH11,408,EtOH,1,45.6,Exp_2
47,Mock,ETOH07,384,EtOH,1,26,Exp_2
49,Mock,ETOH08,388,EtOH,1,6.6,Exp_2
51,Mock,ETOH09,392,EtOH,1,43.6,Exp_2
41,Mock,ETOH04,349,EtOH,1,22.6,Exp_2
43,Mock,ETOH05,377,EtOH,1,20.1,Exp_2
45,Mock,ETOH06,380,EtOH,1,14.1,Exp_2
37,Mock,ETOH01,301,EtOH,1,66,Exp_2
39,Mock,ETOH03,340,EtOH,1,20.3,Exp_2
66,Mock,DRYW17,441,Dry,1,20.5,Exp_2
60,Mock,DRYW14,418,Dry,1,58.4,Exp_2
62,Mock,DRYW15,423,Dry,1,27.8,Exp_2
64,Mock,DRYW16,434,Dry,1,32,Exp_2
54,Mock,DRYW11,408,Dry,1,14.2,Exp_2
56,Mock,DRYW12,404,Dry,1,17.2,Exp_2
58,Mock,DRYW13,416,Dry,1,14.3,Exp_2
50,Mock,DRYW09,392,Dry,1,30.5,Exp_2
52,Mock,DRYW10,400,Dry,1,13.4,Exp_2
44,Mock,DRYW06,380,Dry,1,10,Exp_2
46,Mock,DRYW07,384,Dry,1,16,Exp_2
48,Mock,DRYW08,388,Dry,1,4.5,Exp_2
38,Mock,DRYW03,340,Dry,1,27,Exp_2
40,Mock,DRYW04,349,Dry,1,10.8,Exp_2
42,Mock,DRYW05,365,Dry,1,24.2,Exp_2
35,Mock,DRYW01,301,Dry,1,34,Exp_2
36,Mock,DRYW02,316,Dry,1,13,Exp_2
