id,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample025,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample068,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132,sample133,sample134,sample135,sample136,sample137,sample138,sample139,sample140,sample141,sample142,sample143,sample144,sample145,sample146,sample147,sample148,sample149,sample150,sample151,sample152,sample153,sample154,sample155,sample156,sample157,sample158,sample159,sample160,sample161,sample162,sample163,sample164,sample165,sample166,sample167,sample168,sample169,sample170,sample171,sample172,sample173,sample174,sample175,sample176,sample177,sample178,sample179,sample180,sample181,sample182,sample183,sample184,sample185,sample186,sample187,sample188,sample189,sample190,sample191,sample192,sample193,sample194,sample195,sample196,sample197,sample198,sample199,sample200,sample201,sample202,sample203,sample204,sample205,sample206,sample207,sample208,sample209,sample210,sample211,sample212,sample213,sample214,sample215,sample216,sample217,sample218,sample219,sample220,sample221,sample222,sample223,sample224,sample225,sample226,sample227,sample228,sample229,sample230,sample231,sample232,sample233,sample234,sample235,sample236,sample237,sample238,sample239,sample240,sample241,sample242,sample243,sample244,sample245,sample246,sample247,sample248,sample249,sample250,sample251,sample252,sample253,sample254,sample255,sample256,sample257,sample258,sample259,sample260,sample261,sample262,sample263,sample264,sample265,sample266,sample267,sample268,sample269,sample270,sample271,sample272,sample273,sample274,sample275,sample276,sample277,sample278,sample279,sample280,sample281,sample282,sample283,sample284,sample285,sample286,sample287,sample288,sample289,sample290,sample291,sample292,sample293,sample294,sample295,sample296,sample297,sample298,sample299,sample300,sample301,sample302,sample303,sample304,sample305,sample306,sample307,sample308,sample309,sample310,sample311,sample312,sample313,sample314,sample315,sample316,sample317,sample318,sample319,sample320,sample321,sample322,sample323,sample324,sample325,sample326,sample327,sample328,sample329,sample330,sample331,sample332,sample333,sample334,sample335,sample336,sample337,sample338,sample339,sample340,sample341,sample342,sample343,sample344,sample345,sample346,sample347,sample348,sample349,sample350,sample351,sample352,sample353,sample354,sample355,sample356,sample357,sample358,sample359,sample360,sample361,sample362,sample363,sample364,sample365,sample366,sample367,sample368,sample369,sample370,sample371,sample372,sample373,sample374,sample375,sample376,sample377,sample378,sample379,sample380,sample381,sample382,sample383,sample384
LZOX_000167353,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,45,59,34,61,2,0,0,0,0,0,0,12,8,17,40,0,1,1,8,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,123,90,60,51,69,0,0,0,0,0,0,0,37,35,37,94,9,7,1,13,17,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,5,5,6,8,6,4,4,3,1,5,4,2,4,0,277,19,1600,4,2,4,5,5,100149,86331,282,276,352,5,13,2,4,198,110,201,40276,27830,37167,79393,4181,4682,2458,67,89,70,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,22,0,0,0,0,5,11,6,6,8,9,11,8,14,6,2,8,19,7,4,7,7,11,8,9,21,15,5,18,43519,45169,134348,119000,171160,933,355,435,17,5,10,8,26,13,17,49303,11,12,16,31427,42239,31141,13,19
LZOX_000000064,116,233,1050,2092,733,302,43482,28028,1979,471,460,23,959,2219,2230,4752,8,60,1,38,35,23,0,269,4,38,6,4207,1185,1117,13,120,9,53,21,75,247,2470,196,436,17,14,15825,25776,13985,11337,46,10,0,198,328,4,3,2,2,33722,3,4,5,6,10,2,0,0,3,2,8,1,8,6,10,4,0,0,1,0,0,0,4,1,0,0,0,1,5,3,3,0,6,5,4,1,1,0,0,0,5372,4113,9614,3988,3157,2381,6352,5960,2784,5723,6528,4047,3921,5671,4684,3470,2272,2330,135,735,331,994,679,2018,1636,2732,1503,1746,362,1405,4300,5010,2138,3553,3225,3848,474,484,363,1413,1384,1504,6869,4032,3336,2468,6026,6444,0,0,0,5,734,875,948,19,11,1,8,9,6,7,2,0,14,7,14,7,22,24,17,24,0,0,2,3,2,10,17,4,6,0,1,0,6,3,5,1,5,6,5,1,3,3,4,3,2,1,6,1,3,2,16,17,2,3,0,2,1,4,4,3,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,1,5,4,2,1,1,0,0,1,2,0,9,8,4,4,2,1,40,72,1329,4452,1082,896,674,574,5532,2491,4051,4006,295,536,181,96,5344,1450,9502,9606,20013,18656,11401,16223,220,1241,1302,876,2087,14570,14035,5191,5166,1115,850,463,746,629,1112,248,2713,3412,2091,1959,2058,2541,2089,3707,3,1,12,1,5,1,17,18,0,0,8,3,6,3,4,9,1,3,0,1,1,0,0,1,3,1,1,6,1,2,3,1,0,0,6,0,0,2,1,1,1417,245,902,13,4,7,2,3,109,170,1236,938,926,1286,1139,898,7141,6375,8572,12873,10755,10518,5858,116,9663,3493,17610,5896,6357,10469,13082,11410,294,767,338,177,314,1641,1184,351,452,3026,2147,1479,8907,9288,10808,159,10728,12458,11472,503,606,362,346,732
LZOX_000000013,641,502,884,2674,1664,156,124939,74884,7427,500,160,9,3,38,29,9368,17,41,4,2,7,5,0,366,2,24,2,9905,6366,4877,4,107,2,1,1,4,53,1150,64,380,13,12,2184,7598,10336,890,3,1,9,12,22,16,15,0,0,5956,0,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,8354,4911,4825,78,39,24,20679,7298,9108,1095,1405,667,317,346,428,3327,1811,2307,8,22,20,753,519,1188,921,1652,1114,2746,1339,1905,2054,2146,951,42,28,27,252,346,310,1056,1781,2479,1677,1125,982,200,575,549,16,26,30,26,33,12,21,6,0,0,0,0,8,6,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,4,4,3,0,0,4,4,1,1,0,0,56,31,4,1,0,0,1,0,0,6,1,0,0,0,0,0,0,2,0,0,1,8,6,6,1,0,1,0,0,0,0,1,0,0,3,2,1,6,3,0,1,0,20742,29410,109,118,110,18,6,6,2,5,4,6,7797,7674,4863,25123,1,0,5,0,4,2,2,5,1,2,6,4,5,8,2,2,6,1,3,1,4,3,2,2,2433,2291,6764,1606,2082,1680,2,3,15,3,6,0,0,0,91,47,16,0,0,2,0,0,0,13,0,0,0,0,0,0,2,2,2,3,2,7,3,7,5,2,0,0,0,0,0,1,0,1,5,6,11,6,5,1,3,0,6605,7412,60633,51651,58914,3564,3088,2622,4,2,1,5,9,11,7,8138,5,3,2,5,6,4,5,2,7,3,3,1,3,5,2,0,97,3,11,7,5,9,4,1,4888,6009,6638,4,4,2,131,288
LZOX_000000010,172,148,335,7766,8176,3826,1781,1917,89,1,2,0,0,1,3,4245,21,48,68,152,120,29,2,1,0,0,3,5,0,2,148,65406,88,2,4,4,3,0,1,1314,17,9,0,1,365,5,1,0,0,4,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11585,7801,16298,76999,77997,45178,36632,37657,25525,47,50,42,23,22,15,17310,10416,14052,20758,19538,8050,14,1,11,48,53,56,21,39,18,42825,66960,28335,214,173,292,6,11,9,856,1558,1028,8,43,22,79,9,8,0,0,1,1,15,15,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,2,2,6,46,40,25,16,14,12,0,0,0,0,0,0,14,4,9,9,10,4,0,0,0,0,0,0,1,0,0,21,75,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,83,45,2212,69,3065,2630,4687,1,2,2,2,2,0,1,10,1,3,3,2,2,2,3,4,2,1,135,39,28,523,811,844,1,3,1,2,12,9,24,0,1022,1479,2059,1,1,1,1,0,13,7,19,78,101,30,50,38,26,0,0,0,0,1,0,21,11,10,21,19,7,0,0,0,0,0,0,0,0,0,42,88,23,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,1,603,529,393,2,0,0,261,0,0,0,6,0,1,1,3,8,4,1,0,2,525,526,5,1,0,0,2,112,177,176,1,1,0,0,1,0,1,1,153,215,180,20,91,19,0,1
LZOX_000001811,204,104,132,285,12,5,45,30,4,4,4,5,0,5,0,7695,5,10,2,2,18,3,3,880,1,1,1,894,279,210,1,2,1,24,17,45,8,126,4,554,4,8,2,3,14,2431,28,19,3,6,21,18,19,4,5,60367,0,0,0,0,14,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,0,1,1,0,1,0,4,0,0,0,1,2,1194,628,302,2986,2646,1783,12,24,21,972,984,392,10,8,13,2548,1325,1710,99,145,145,1051,807,3084,13,17,7,8,11,10,137,135,170,6419,4933,3465,924,1334,815,1915,1040,2884,6,15,8,5555,9581,6824,4,12,33,17,33,15,33,31,0,0,0,0,27,24,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,8,2,4,1,0,4,2,2,0,0,0,3,9,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,2,4,1,27,29,18718,9532,14684,11225,20812,12820,0,3,5,3,34015,25291,16180,34,0,0,3,0,1,3,0,1,1,1,3,6,1,3,4,3,7237,32,18,51,13,14,13,1,12,8,18,258,509,376,2568,5579,1,0,0,3,2,0,0,0,0,2,1,1,0,0,0,5,1,3,0,1,0,3,0,1,0,0,0,0,0,0,1,1,0,2,2,1,2,2,1,1,23,34,10,1,0,6,7,6,9959,15682,33170,36360,42032,1855,2086,1127,5,5,4,7,38,30,37,15454,4,9,12,4,2,7,3,6,5,10,10,4,4,9,3,2,1427,13694,12813,20728,4454,2968,4176,1,3983,3102,4543,6,3,4,1053,2117
LZOX_000003733,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,23,53,0,0,0,0,0,18,11,18,14,11,33,0,2,4,4,8,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,2,1,0,0,8,6,18,3,2,1,1,2,2,2,4,0,1,1,2,0,3,3,0,1,1,5,1,1,69,95,59,68,24,200,62,46,15,34,24,28,1,0,0,0,8,3,45,40,100,1,0,0,0,0,52,41,830,885,767,37,0,4,11,16,13,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,0,1,0,0,3,3,2,5,5,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,6,16,0,0,0,0,0,87,153,51693,36269,41500,5348,5711,5789,2,6280,12898,16397,193,207,102,116,3,7,6,2,4,1,7,7,9,8,6,6,4,13,6,12,489,9,6,36,5,10,9,4,1381,1651,1227,4452,3425,4484,491,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10105,2444,9674,14,0,0,0,0,55,65,46,36,139,60524,42725,66975,6,8,7,17,39531,46855,30614,65,10,8,13,4,2,8,14,5,8,7,7,11,15,8,7,14,120,1524,1723,11471,195,629,781,11,5559,2385,1500,11,9,11,319,432
LZOX_000119825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,224,0,0,0,5,18,5,9,7,5,4,8,0,5,14,8,5,2,6,11,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4,8,12,9,2,1,7,5,8,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,62,32,38,0,0,1,0,0,0,0,1,0,0,2,2,0,2,1,2,4,10,0,0,0,33,42,18,26,29,45,23,25,0,15,30,32,27,11,11,40,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,3,6,7,30,37,41,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,5,7,0,0,0,0,0,38516,48620,16882,18121,19759,21376,13282,20634,247,15095,23814,24794,15906,10082,13439,27586,7,4,8,2035,1251,2875,396,1521,3,2,9,9,12,12,8,8,8727,29,3,12,21,15,18,5,3737,3712,4342,29882,38120,37256,4192,6060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5303,2297,3702,4,0,0,0,0,1037,1033,1121,2389,2062,2105,1524,1335,551,102,96,97,7745,3474,5422,1161,1,2,4,6,3,3,912,1091,5,5,5,1,6,10,8,0,164,254,184,326,1005,1144,1299,3,2871,2988,3929,16,25,20,185,276
LZOX_000002103,28,156,234,14001,9648,6614,58,24,4,12847,969,640,2257,12119,3302,3,4,7,4,6,8,7,1,3,23,238,92,41608,27876,33178,11,8,4,3,3,4,1036,8194,723,1877,90,445,36,1119,7508,89080,149,13,4,9,2,7,0,0,1,34615,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,381,511,2558,2360,2985,11,6,3,3244,1069,1777,3034,7873,5224,2,4,4,5,22,10,5,3,3,267,224,498,6120,9500,4692,242,198,112,1,1,3,4639,7954,4861,3681,9063,10495,119,57,119,10505,9890,3765,12,9,1,2,4,4,4,18,0,0,0,0,10,11,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,5,2,0,0,0,10,0,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,19,14,26,0,0,0,0,0,0,3,7,2,4,4,5,1,0,1,44,4,2,5525,7100,5,7,7,8,9,23,0,1,2,1,8322,6149,6644,3581,1,2,0,3,2,0,1,0,1,1,1,2,1,1,1,1,2,0,0,3,3,1,3,0,0,1,4,0,0,0,0,1,2,0,0,10,8,13,0,1,0,10,1,1,2,10,8,0,0,0,0,0,0,0,0,0,1,0,0,25,26,21,0,0,0,0,0,0,9,15,7,2,9,24,1,4,4,40,11,5,7353,14093,3575,3016,3560,2656,2588,674,3,2,0,4,5,4,1,10264,2,1,1,0,3,1,4,1,1,2,4,2,3,2,1,0,2,2,2,2,1,1,1,2,6,1,1,0,3,0,4,5
LZOX_000000005,4781,3073,14692,33888,23357,10845,29,2,1,2,0,1,0,1,1,2,2,1,18,389,1077,16,1,141,58,604,222,3,0,0,15,1809,0,0,1,2,1,1,0,124,8,5,697,1984,28,0,1,0,0,3,1,2,0,13,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,6,5,12,0,0,0,0,0,0,0,0,0,12223,7543,19989,4621,2437,2028,11,11,4,6,3,5,5,4,3,4,3,5,4561,24079,23187,9,6,4,10087,16019,9130,2,9,5,10,4,5,2,1,1,3,5,7,12125,3315,2217,1063,10,15,19,4,4,0,0,0,0,7,15,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,45,10,2,13,0,0,0,0,0,0,0,0,0,6,4,13,13,19,2,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,1,0,0,0,0,0,1,1,3,3,57,47,37,0,3,0,1,2,1,1,0,2,0,4,0,0,1,0,0,0,1,0,0,2,2,0,1,2,7875,7308,40355,38,38,65,1,3,0,0,0,1,1,2,3,15,9,29,20,14,3,0,0,0,0,0,0,0,0,1,0,0,0,8,27,23,0,0,0,9,14,9,0,0,0,0,2,0,0,0,0,0,0,0,13,4,3,3,3,0,1,0,0,3,6,2,4,49,25243,20519,19135,3,2,2,4,7,1,4,2,4,3,1,1,0,2,2,4,11,3,4,2,2,2,4,1,1,2,2,3,19729,18232,25872,1,1,5,2,3,5,3,6,9
LZOX_000001630,2,90,302,2138,833,526,176,210,0,1,0,0,0,0,0,862,4,1,2,38,41,6,0,62,29,26,33,34,1,1,3,134,2,0,1,1,0,1,0,81,19,39,47,147,410,176,0,0,0,0,0,3,2,1,0,252,0,0,0,2,5,9,4,0,1,1,0,0,1,1,0,0,1,1,5,1,1,4,0,2,2,0,1,1,5,4,7,1,3,3,2,3,0,3,5,6,1086,778,2566,26,10,14,307,243,228,20,28,10,13,17,12,106,184,172,525,9303,8957,135,138,72,6808,5935,5173,28,21,12,1019,323,401,49,49,44,3,8,11,303,4124,2511,24,101,213,18,17,33,0,0,5,5,112,148,87,8,0,7,5,6,4,3,6,0,4,8,5,0,1,1,0,2,0,6,9,7,8,13,5,4,7,2,1,0,11,4,6,3,5,5,2,5,2,2,3,8,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6,6,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,31,0,0,1,0,0,25,67,3552,2519,2257,2597,1211,6365,58,2502,4456,5713,96,114,137,53,2511,4638,3574,196,135,312,158,195,254,1115,7083,2278,4281,8728,5699,3840,6974,1024,943,385,5411,3415,5327,283,3826,3243,1826,4263,1374,3526,8016,10687,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,1,0,4,9,6,0,0,0,2,0,1,0,0,0,0,0,0,0,17111,2565,12609,5,0,0,0,0,15,59,19,16,16,3669,514,1614,150,299,174,314,16528,17294,15835,22,1429,3117,1141,862,808,1393,469,336,3127,5798,3675,1376,2616,5729,2566,1245,19,1014,4845,632,9330,6116,6727,1993,2236,3329,1513,4119,2274,2113,57,77
