sample_id,type,sample_name,rep
sample001,sample,1,a
sample002,sample,1,b
sample003,sample,1,c
sample004,sample,3,a
sample005,sample,3,b
sample006,sample,3,c
sample007,sample,5,a
sample008,sample,5,b
sample009,sample,5,c
sample010,sample,7,a
sample011,sample,7,b
sample012,sample,7,c
sample013,sample,9,a
sample014,sample,9,b
sample015,sample,9,c
sample016,sample,11,a
sample017,sample,11,b
sample018,sample,11,c
sample019,sample,13,a
sample020,sample,13,b
sample021,sample,13,c
sample022,sample,15,a
sample023,sample,15,b
sample024,sample,15,c
sample025,sample,17,a
sample026,sample,17,b
sample027,sample,17,c
sample028,sample,19,a
sample029,sample,19,b
sample030,sample,19,c
sample031,sample,21,a
sample032,sample,21,b
sample033,sample,21,c
sample034,sample,23,a
sample035,sample,23,b
sample036,sample,23,c
sample037,sample,25,a
sample038,sample,25,b
sample039,sample,25,c
sample040,sample,27,a
sample041,sample,27,b
sample042,sample,27,c
sample043,sample,29,a
sample044,sample,29,b
sample045,sample,29,c
sample046,sample,31,a
sample047,sample,31,b
sample048,sample,31,c
sample050,sample,33,a
sample051,sample,33,b
sample052,blank,Blank1,a
sample056,sample,33,c
sample097,sample,2,a
sample098,sample,2,b
sample099,sample,2,c
sample100,sample,4,a
sample101,sample,4,b
sample102,sample,4,c
sample103,sample,6,a
sample104,sample,6,b
sample105,sample,6,c
sample106,sample,8,a
sample107,sample,8,b
sample108,sample,8,c
sample109,sample,10,a
sample110,sample,10,b
sample111,sample,10,c
sample112,sample,12,a
sample113,sample,12,b
sample114,sample,12,c
sample115,sample,14,a
sample116,sample,14,b
sample117,sample,14,c
sample118,sample,16,a
sample119,sample,16,b
sample120,sample,16,c
sample121,sample,18,a
sample122,sample,18,b
sample123,sample,18,c
sample124,sample,20,a
sample125,sample,20,b
sample126,sample,20,c
sample127,sample,22,a
sample128,sample,22,b
sample129,sample,22,c
sample130,sample,24,a
sample131,sample,24,b
sample132,sample,24,c
sample133,sample,26,a
sample134,sample,26,b
sample135,sample,26,c
sample136,sample,28,a
sample137,sample,28,b
sample138,sample,28,c
sample139,sample,30,a
sample140,sample,30,b
sample141,sample,30,c
sample142,sample,32,a
sample143,sample,32,b
sample144,sample,32,c
sample149,sample,34,a
sample150,sample,34,b
sample151,sample,34,c
sample152,blank,Blank2,b
sample241,sample,63,a
sample242,sample,63,b
sample243,sample,65,a
sample244,sample,65,b
sample245,sample,65,c
sample246,sample,67,a
sample247,sample,67,b
sample248,sample,67,c
sample249,sample,57,a
sample250,sample,59,a
sample251,sample,59,b
sample252,sample,59,c
sample253,sample,61,a
sample254,sample,61,b
sample255,sample,61,c
sample256,sample,63,c
sample257,sample,53,a
sample258,sample,53,b
sample259,sample,53,c
sample260,sample,55,a
sample261,sample,55,b
sample262,sample,55,c
sample263,sample,57,b
sample264,sample,57,c
sample265,sample,47,a
sample266,sample,47,b
sample267,sample,49,a
sample268,sample,49,b
sample269,sample,49,c
sample270,sample,51,a
sample271,sample,51,b
sample272,sample,51,c
sample273,sample,41,a
sample274,sample,43,a
sample275,sample,43,b
sample276,sample,43,c
sample277,sample,45,a
sample278,sample,45,b
sample279,sample,45,c
sample280,sample,47,c
sample281,sample,37,a
sample282,sample,37,b
sample283,sample,37,c
sample284,sample,39,a
sample285,sample,39,b
sample286,sample,39,c
sample287,sample,41,b
sample288,sample,41,c
sample329,sample,66,a
sample330,sample,66,b
sample331,sample,66,c
sample332,blank,Blank3,c
sample337,sample,60,a
sample338,sample,60,b
sample339,sample,62,a
sample340,sample,62,b
sample341,sample,62,c
sample342,sample,64,a
sample343,sample,64,b
sample344,sample,64,c
sample345,sample,54,a
sample346,sample,56,a
sample347,sample,56,b
sample348,sample,56,c
sample349,sample,58,a
sample350,sample,58,b
sample351,sample,58,c
sample352,sample,60,c
sample353,sample,50,a
sample354,sample,50,b
sample355,sample,50,c
sample356,sample,52,a
sample357,sample,52,b
sample358,sample,52,c
sample359,sample,54,b
sample360,sample,54,c
sample361,sample,44,a
sample362,sample,44,b
sample363,sample,46,a
sample364,sample,46,b
sample365,sample,46,c
sample366,sample,48,a
sample367,sample,48,b
sample368,sample,48,c
sample369,sample,38,a
sample370,sample,40,a
sample371,sample,40,b
sample372,sample,40,c
sample373,sample,42,a
sample374,sample,42,b
sample375,sample,42,c
sample376,sample,44,c
sample377,sample,35,a
sample378,sample,35,b
sample379,sample,35,c
sample380,sample,36,a
sample381,sample,36,b
sample382,sample,36,c
sample383,sample,38,b
sample384,sample,38,c
