id,liz001,liz002,liz003,liz004,liz005,liz006,liz007,liz008,liz009,liz010,liz011,liz012,liz013,liz014,liz015,liz016,liz017,liz018,liz019,liz020,liz021,liz022,liz023,liz024,liz025,liz026,liz027,liz028,liz029,liz030,liz031,liz032,liz033,liz034,liz035,liz036,liz037,liz038,liz039,liz040,liz041,liz042,liz043,liz044,liz045,liz046,liz047,liz048,liz049,liz050,liz051,liz052,liz053,liz054,liz055,liz056,liz057,liz058,liz059,liz060,liz061,liz062,liz063,liz064,liz065,liz066,liz067,liz068,liz069,liz070,liz071,liz072,liz073,liz074,liz075,liz076,liz077,liz078,liz079,liz080,liz081,liz082,liz083,liz084,liz085,liz086,liz087,liz088,liz089,liz090,liz091,liz092,liz093,liz094,liz095,liz096
LIZ1_000381767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000381768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000119,97,7375,102,1250,83,1860,18636,39156,149,4554,74,6412,80,1386,10530,42099,503,4913,88,6189,72,1235,11422,42978,591,2903,2651,1986,5817,2527,393,6272,1029,1760,2767,3114,6027,2487,303,4516,533,2010,2895,6859,5382,2500,258,4744,12246,2763,134393,1137,487,920,2846,5155,12296,3478,81633,574,1029,985,3866,2174,12016,2143,119927,703,615,1383,6984,4869,59010,320,5267,40445,349,180,293,3,28158,392,9804,79006,207,472,91,2,62717,424,9773,57050,277,749,29,1
LIZ1_000000038,493,12032,25526,2047,24263,17091,4046,1496,7624,8720,29835,7557,25364,9041,3506,1230,10708,12987,21119,7496,16048,8763,7393,2162,104,12582,8346,21,24626,2947,2422,8000,393,12941,7223,962,29326,1736,1541,5346,68,11224,5285,487,25967,1407,2346,7988,6714,26452,3569,14487,4270,3354,531,95,2711,24926,1659,17668,8189,3930,1250,32,4343,19391,2645,11409,7304,5827,1032,54,15546,16957,17876,10212,12637,3968,3586,3,6988,12636,12898,17038,6927,6024,5051,2,14785,11781,16722,13454,8914,7038,4140,3
LIZ1_000383108,0,0,0,0,95,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,0,0,0,1,0,0,0,59,0,0,1,0,0,1,0,201,0
LIZ1_000000028,580,4753,4846,3243,9753,3794,687,746,19193,9421,8367,5179,16790,3208,511,1319,16189,9773,7108,13772,7773,12891,703,1850,37,1655,3024,386,1088,1552,1553,30091,127,865,1688,13438,1223,1682,835,10877,63,565,1311,7715,1346,1224,1107,20249,3158,1127,655,6692,35254,4450,1750,251,350,1335,265,5507,45077,5606,4025,103,920,846,554,3825,43007,9580,6095,154,7602,2549,35864,23754,7630,1609,3700,2,3321,4583,33512,24873,8479,3489,3054,3,4442,1499,56609,34415,12941,3718,5698,1
LIZ1_000000200,9,13170,2264,1995,2158,26589,14415,55,37,10112,3613,5888,3080,20010,9499,66,48,14554,2375,7658,1586,21795,10221,75,42,12930,19421,40,24320,5742,2518,18396,135,10743,25348,858,25940,4275,1373,9769,32,9083,20603,894,25245,4534,2946,14019,4717,42096,1421,12187,33,9518,23,463,1751,43455,444,17279,69,10899,19,124,4040,35671,1237,11530,33,14970,16,342,71,13381,14675,43,8635,5113,1397,3,32,12602,16169,79,4743,10266,1556,1,54,11363,23792,69,7565,9790,1323,3
LIZ1_000000248,8,75715,645,1452,147,2121,344,8,5,62309,1929,4148,141,1470,166,12,18,74340,1506,4296,152,4581,183,15,36,31463,17538,886,385,2254,229,5300,686,30579,27681,6794,391,1939,124,2417,59,38687,22870,10831,371,3101,211,2269,12366,5155,6419,5516,16,6035,2,1448,5794,4513,1520,5147,9,5860,5,532,11979,4066,4762,4445,3,10098,8,1103,152,26976,2508,37,2525,10659,294,4,48,24060,4321,70,1662,11477,132,2,158,30902,6157,45,3473,15841,599,5
LIZ1_000391577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000289,10,10,37629,215,53143,2226,509,7,14,12,48572,236,57731,1246,308,8,23,21,35877,258,29153,4377,403,11,2,2095,2266,4,1638,58,11707,168,3,3317,1862,5,1881,22,7735,37,3,1454,1459,2,1422,42,8758,61,278,1452,15,8203,39,1959,18,11,67,1591,10,4172,23,2229,13,9,209,1237,21,6538,20,3112,16,10,24,38157,24,13,48224,1514,23977,2,7,36958,21,19,25630,2711,20416,3,18,28554,23,17,43479,3961,9865,2
