sample_name,Station,Net,Split,Rep_sample,Preservative
1,369,WP2,0.5,1,EtOH
2,369,WP2,0.5,1,Buffer
3,369,WP2,0.5,2,Buffer
4,369,WP2,0.5,1,FD
5,369,WP2,0.5,2,FD
6,369,WP2,0.5,1,Dry oven
7,381,WP2,0.5,1,Buffer
8,381,WP2,0.5,2,Buffer
9,381,WP2,0.5,1,FD
10,381,WP2,0.5,2,FD
11,381,WP2,0.5,1,EtOH
12,381,WP2,0.5,1,Dry oven
13,385,WP2,0.5,1,EtOH
14,385,WP2,0.5,1,Buffer
15,385,WP2,0.5,2,Buffer
16,385,WP2,0.5,1,FD
17,385,WP2,0.5,2,FD
18,385,WP2,0.5,1,Dry oven
19,390,GULF,0.25,1,EtOH
20,390,GULF,0.25,1,FD
21,390,GULF,0.25,2,FD
22,390,GULF,0.25,1,Buffer
23,390,GULF,0.25,2,Buffer
24,396,GULF,0.125,1,EtOH
25,396,GULF,0.125,1,Buffer
26,396,GULF,0.125,2,Buffer
27,396,GULF,0.125,1,FD
28,396,GULF,0.125,2,FD
29,396,GULF,0.125,1,Dry oven
30,398,WP2,0.5,1,EtOH
31,398,WP2,0.5,1,Buffer
32,398,WP2,0.5,2,Buffer
33,398,WP2,0.5,1,FD
34,398,WP2,0.5,2,FD
35,400,WP2,0.5,1,EtOH
36,400,WP2,0.5,1,Buffer
37,400,WP2,0.5,2,Buffer
38,400,WP2,0.5,1,FD
39,400,WP2,0.5,2,FD
40,414,WP2,0.5,1,EtOH
41,414,WP2,0.5,1,Buffer
42,414,WP2,0.5,2,Buffer
43,414,WP2,0.5,1,FD
44,414,WP2,0.5,2,FD
45,416,WP2,0.5,1,EtOH
46,416,WP2,0.5,1,Buffer
47,416,WP2,0.5,2,Buffer
48,416,WP2,0.5,1,FD
49,416,WP2,0.5,2,FD
50,418,WP2,0.5,1,EtOH
51,418,WP2,0.5,1,Buffer
52,418,WP2,0.5,2,Buffer
53,418,WP2,0.5,1,FD
54,418,WP2,0.5,2,FD
55,418,Mammoth,0.125,1,EtOH
56,418,Mammoth,0.125,1,Buffer
57,418,Mammoth,0.125,2,Buffer
58,418,Mammoth,0.125,1,FD
59,418,Mammoth,0.125,2,FD
60,424,WP2,0.5,1,EtOH
61,424,WP2,0.5,1,Buffer
62,424,WP2,0.5,2,Buffer
63,424,WP2,0.5,1,FD
64,424,WP2,0.5,2,FD
