sample_name,Rep,Sample_type,Station,Real_station,Preservative,Split,DNA.conc,Experiment
10,a,Fjord,1109,1109,EtOH,0.125,78.8,Exp_2
12,a,Fjord,1072,1072,EtOH,0.0625,90.8,Exp_2
14,a,Fjord,1150,1150,EtOH,0.125,74.4,Exp_2
16,a,Fjord,1101,1101,EtOH,0.125,164,Exp_2
18,a,Fjord,1145,1145,EtOH,0.125,123,Exp_2
2,a,Fjord,1138,1138,EtOH,0.125,112,Exp_2
20,a,Fjord,1116,1116,EtOH,0.125,25.8,Exp_2
22,a,Fjord,1140,1140,EtOH,0.125,47.2,Exp_2
24,a,Fjord,1080,1080,EtOH,0.125,9.2,Exp_2
26,a,Fjord,1106,1106,EtOH,0.125,95,Exp_2
28,a,Fjord,1119,1119,EtOH,0.125,0.75,Exp_2
30,a,Fjord,1126,1126,EtOH,0.125,105,Exp_2
32,a,Fjord,1083,1083,EtOH,0.0625,5.6,Exp_2
37,a,Mock,ETOH01,301,EtOH,1,66,Exp_2
39,a,Mock,ETOH03,340,EtOH,1,20.3,Exp_2
4,a,Fjord,1146,1146,EtOH,0.125,45.6,Exp_2
41,a,Mock,ETOH04,349,EtOH,1,22.6,Exp_2
43,a,Mock,ETOH05,377,EtOH,1,20.1,Exp_2
45,a,Mock,ETOH06,380,EtOH,1,14.1,Exp_2
46,a,Mock,DRYW07,384,Dry,1,16,Exp_2
47,a,Mock,ETOH07,384,EtOH,1,26,Exp_2
48,a,Mock,DRYW08,388,Dry,1,4.5,Exp_2
49,a,Mock,ETOH08,388,EtOH,1,6.6,Exp_2
50,a,Mock,DRYW09,392,Dry,1,30.5,Exp_2
51,a,Mock,ETOH09,392,EtOH,1,43.6,Exp_2
52,a,Mock,DRYW10,400,Dry,1,13.4,Exp_2
54,a,Mock,DRYW11,408,Dry,1,14.2,Exp_2
56,a,Mock,DRYW12,404,Dry,1,17.2,Exp_2
58,a,Mock,DRYW13,416,Dry,1,14.3,Exp_2
6,a,Fjord,1134,1134,EtOH,0.125,37,Exp_2
60,a,Mock,DRYW14,418,Dry,1,58.4,Exp_2
62,a,Mock,DRYW15,423,Dry,1,27.8,Exp_2
63,a,Mock,ETOH15,423,EtOH,1,0,Exp_2
64,a,Mock,DRYW16,434,Dry,1,32,Exp_2
65,a,Mock,ETOH16,434,EtOH,1,12,Exp_2
66,a,Mock,DRYW17,441,Dry,1,20.5,Exp_2
67,a,Mock,ETOH17,441,EtOH,1,11.6,Exp_2
8,a,Fjord,1115,1115,EtOH,0.125,69,Exp_2
