id,sample_10_381,sample_15_385,sample_17_385,sample_20_390,sample_22_390,sample_25_396,sample_27_396,sample_2_369,sample_31_398,sample_32_398,sample_33_,sample_34_398,sample_36_401,sample_37_400,sample_38_401,sample_39_400,sample_42_414,sample_43_414,sample_47_416,sample_48_416,sample_52_418,sample_54_418,sample_56_420,sample_59_420,sample_5_369,sample_62_424,sample_64_424,sample_8_381,sample_BL1,sample_BL2
JI01_000563073,0,0,0,0,0,0,0,2,0,0,0,0,10,9,1,2,0,0,2,3,1,1,0,3,0,9,3,0,0,0
JI01_000784397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0
JI01_000244682,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,13,5,598,171,111,67,11,0,54,523,209,0,0,0
JI01_000001290,182,0,0,127,273,13,14,11,8,22,23,0,10,1,18,9,0,0,9,1,0,0,227,101,0,0,0,547,0,0
JI01_001067410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0
JI01_001078913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0
JI01_000309490,0,0,0,0,0,8538,3928,0,21,6,25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000406730,0,0,0,0,0,71,50,0,20,60,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000235049,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000105330,0,0,0,6,8,3,1,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,5,3,0,5,0,0,0,0
JI01_000059164,1,8,0,1124,64,0,0,0,2,18,26,0,1,4,17,14,0,0,6,1,4,1,0,0,0,0,0,3,0,0
JI01_000100609,0,0,0,218,1195,0,0,0,0,0,0,0,406,166,229,370,534,50,0,0,0,0,0,20,0,0,0,0,0,0
JI01_000103314,12,0,0,18,16,0,1,51,16,0,30,0,34,8,9,49,0,3,267,96,270,87,19,47,17,199,31,35,0,0
JI01_000661586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,10,0,3,12,0,0,0,1,0,0,0,0
JI01_000016352,9,0,0,0,0,8938,3792,2350,1692,3699,26,0,6,3,2,9,0,2,721,1730,0,0,0,0,276,659,350,0,0,0
JI01_000003293,95,40,44,543,230,57,321,0,65,0,134,15,55,2,42,106,33,105,12,32,41,150,2,0,3,0,8,51,0,0
JI01_000828036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
JI01_000105131,0,0,0,28,112,0,0,151,0,0,0,0,118,34,16,13,0,0,0,0,0,0,523,124,3,0,0,0,0,0
JI01_000734957,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,47,15,0,0,0,0,0,0,0,0,0,0
JI01_000000304,5032,310,36,1750,11110,6660,912,19122,738,1049,303,8,1731,743,251,314,4028,266,9175,1806,11048,3379,12554,2183,1561,6713,1624,15767,0,30
JI01_000001388,1587,129,8,1088,8990,9779,1835,745,2419,2134,428,10,553,154,28,50,1247,115,2992,549,1019,215,1100,130,51,670,51,4254,0,0
JI01_000233302,7,0,0,0,0,0,0,2843,0,0,0,0,0,0,0,0,0,1,23,1,520,137,1078,154,133,125,11,0,0,0
JI01_000309488,0,0,0,0,0,2517,2339,0,887,847,1018,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000138726,0,0,0,3,0,0,0,0,0,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000310075,0,0,0,0,0,705,195,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000028642,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,1,0,1,1,0,0,0,0,0,0,0,5,0,0
JI01_000319422,0,0,0,0,0,152,99,25,8,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0
JI01_000715232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000084370,103,0,162,136,2,9,68,0,40,39,197,0,10,3,163,364,24,53,15,39,0,63,0,0,0,0,77,14,0,0
JI01_000167885,0,0,0,1,9,50,9,0,8,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
JI01_000197869,0,0,0,0,4,0,0,0,11,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000127488,12,0,0,6,4,40,22,0,13,26,49,1,9,0,0,3,7,1,26,4,0,0,3,0,0,0,0,8,0,0
JI01_000331043,0,0,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000003799,70,0,3,46,49,125,90,2,4,5,3,0,124,73,20,36,0,5,19,23,1,1,0,0,0,139,47,120,0,0
JI01_000383201,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000314314,0,0,0,0,0,90,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000548081,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000001017,606,0,0,241,484,246,59,5,325,440,126,24,94,34,17,4,60,6,244,94,0,0,11,0,0,1,8,541,0,0
JI01_000401747,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000010857,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
JI01_000720541,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,25,13,6,0,0,0,1,0,8,0,0
JI01_000010071,39,20,4,1,7,0,0,235,0,0,0,0,0,0,0,0,81,9,0,2,1945,1148,7031,2295,43,10,0,1,0,0
JI01_000659003,2,33,0,0,0,0,0,0,0,0,0,0,7,0,0,0,483,41,87,37,26,32,1,0,0,6,0,5,0,0
JI01_000807439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0
JI01_000453880,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,0,0,0
JI01_000003456,141,410,244,586,1134,53,824,4,28,48,62,0,852,277,313,700,963,379,1336,400,1078,267,395,822,0,333,64,773,0,0
JI01_000000756,97,308,396,810,1138,91,790,2,52,47,224,23,1417,247,341,888,548,56,612,139,438,135,424,854,0,193,14,435,0,4
JI01_000112765,3,5,3,9,4,2,58,0,0,0,0,0,1,0,0,2,3,1,6,5,1,1,0,0,0,4,0,5,0,0
JI01_000907867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,2,5,0,0,0
JI01_000524184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,34,1,5,0,0,0
JI01_000125242,0,0,2,11,8,97,167,6,34,9,25,0,6,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JI01_000483281,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000001198,363,288,392,76,11,3,12,0,121,136,337,12,74,19,23,36,100,144,22,41,5,53,0,40,0,6,0,21,0,0
JI01_000405928,0,0,0,0,3,8,5,0,0,0,0,0,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JI01_000654854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1,0,1,1,0,0,0,0,0,0,0,0
JI01_000100880,0,1,0,39,19,46,11,0,107,60,18,0,51,0,0,0,13,0,5,6,0,0,0,0,0,0,0,7,0,0
JI01_000732161,0,0,0,0,0,0,0,57,0,7,0,0,0,0,0,0,0,0,63,16,295,85,1533,358,4,166,22,0,0,0
JI01_000935874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,88,0,0,0,0,0,0
JI01_000109549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0
JI01_000941318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,50,18,0,0,0,0,0,0
JI01_000310295,0,0,0,0,0,476,198,0,185,87,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000016942,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,10,6,4,0,0,0,0,12,11,22,0,0
JI01_000102376,0,0,0,51,415,253,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000007287,218,0,0,5,18,6,2,608,0,0,0,0,0,0,0,0,6,0,489,45,351,56,89,32,37,1976,105,472,0,0
JI01_000956740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
JI01_000059095,0,9,3,0,0,56,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000315546,0,0,0,0,0,81,28,0,22,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000309568,0,0,0,0,0,382,133,0,187,93,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000247867,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,241,68,375,98,24,15,0,235,106,0,0,0
JI01_000731629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,45,382,50,0,0,0,31,15,0,0,0
