sample_name,Station,Net,Split,Rep_sample,Preservative,Lab
1,369,WP2,0.5,1,EtOH,Tromso
2,369,WP2,0.5,1,Buffer,Tromso
3,369,WP2,0.5,2,Buffer,Tromso
4,369,WP2,0.5,1,FD,Tromso
5,369,WP2,0.5,2,FD,Tromso
6,369,WP2,0.5,1,Dry oven,Tromso
7,381,WP2,0.5,1,Buffer,Tromso
8,381,WP2,0.5,2,Buffer,Tromso
9,381,WP2,0.5,1,FD,Tromso
10,381,WP2,0.5,2,FD,Tromso
11,381,WP2,0.5,1,EtOH,Tromso
12,381,WP2,0.5,1,Dry oven,Tromso
13,385,WP2,0.5,1,EtOH,Tromso
14,385,WP2,0.5,1,Buffer,Tromso
15,385,WP2,0.5,2,Buffer,Tromso
16,385,WP2,0.5,1,FD,Tromso
17,385,WP2,0.5,2,FD,Tromso
18,385,WP2,0.5,1,Dry oven,Tromso
19,390,GULF,0.25,1,EtOH,Tromso
20,390,GULF,0.25,1,FD,Tromso
21,390,GULF,0.25,2,FD,Tromso
22,390,GULF,0.25,1,Buffer,Tromso
23,390,GULF,0.25,2,Buffer,Tromso
24,396,GULF,0.125,1,EtOH,Tromso
25,396,GULF,0.125,1,Buffer,Tromso
26,396,GULF,0.125,2,Buffer,Tromso
27,396,GULF,0.125,1,FD,Tromso
28,396,GULF,0.125,2,FD,Tromso
29,396,GULF,0.125,1,Dry oven,Tromso
30,398,WP2,0.5,1,EtOH,Tromso
31,398,WP2,0.5,1,Buffer,Tromso
32,398,WP2,0.5,2,Buffer,Tromso
33,398,WP2,0.5,1,FD,Tromso
34,398,WP2,0.5,2,FD,Tromso
35,400,WP2,0.5,1,EtOH,Tromso
36,401,WP2,0.5,1,Buffer,Flodevigen
37,400,WP2,0.5,2,Buffer,Tromso
38,401,WP2,0.5,1,FD,Flodevigen
39,400,WP2,0.5,2,FD,Tromso
40,414,WP2,0.5,1,EtOH,Tromso
41,414,WP2,0.5,1,Buffer,Tromso
42,414,WP2,0.5,2,Buffer,Tromso
43,414,WP2,0.5,1,FD,Tromso
44,414,WP2,0.5,2,FD,Tromso
45,416,WP2,0.5,1,EtOH,Tromso
46,416,WP2,0.5,1,Buffer,Tromso
47,416,WP2,0.5,2,Buffer,Tromso
48,416,WP2,0.5,1,FD,Tromso
49,416,WP2,0.5,2,FD,Tromso
50,418,WP2,0.5,1,EtOH,Tromso
51,418,WP2,0.5,1,Buffer,Tromso
52,418,WP2,0.5,2,Buffer,Tromso
53,418,WP2,0.5,1,FD,Tromso
54,418,WP2,0.5,2,FD,Tromso
55,418,Mammoth,0.125,1,EtOH,Tromso
56,418,Mammoth,0.125,1,Buffer,Tromso
57,418,Mammoth,0.125,2,Buffer,Tromso
58,418,Mammoth,0.125,1,FD,Tromso
59,418,Mammoth,0.125,2,FD,Tromso
60,424,WP2,0.5,1,EtOH,Tromso
61,424,WP2,0.5,1,Buffer,Tromso
62,424,WP2,0.5,2,Buffer,Tromso
63,424,WP2,0.5,1,FD,Tromso
64,424,WP2,0.5,2,FD,Tromso
